loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.004075797603352782,0.7789289951324463,0,701.0,67.0,4851775.318738343,0.004075797603352782,1347.7153663162064
-0.019489742285250376,15.594565868377686,1,377.0,54.0,179432203.37735268,0.019489742285250376,49842.2787159313
-0.017499659502610523,5.840439081192017,2,744.0,49.0,55347078.57179692,0.017499659502610523,15374.18849216581
-0.010859112873594264,2.249403238296509,3,336.0,36.0,22766709.08147719,0.010859112873594264,6324.085855965886
-0.017591017662852378,5.749316930770874,4,482.0,28.0,55070455.22507994,0.017591017662852378,15297.348673633316
-0.0029948240073832152,0.6148760318756104,5,791.0,52.0,2706388.637566071,0.0029948240073832152,751.7746215461308
-0.013802225569124294,3.101386308670044,6,151.0,96.0,30810793.66952654,0.013802225569124294,8558.553797090706
-0.005418116615970598,1.0085456371307373,7,469.0,27.0,7719918.148420446,0.005418116615970598,2144.421707894568
-0.019628415508777034,19.790161609649658,8,954.0,36.0,375366214.5300876,0.019628415508777034,104268.39292502432
-0.019791797429813535,20.733454704284668,9,658.0,28.0,579471812.2106019,0.019791797429813535,160964.39228072276
-0.010211457171013278,1.8669447898864746,10,442.0,18.0,18622662.916979354,0.010211457171013278,5172.961921383154
-0.00680208183126757,1.218923807144165,11,312.0,5.0,12536548.293429118,0.00680208183126757,3482.3745259525326
-0.019984331357796287,23.041445016860962,12,903.0,80.0,474667332.83928674,0.019984331357796287,131852.03689980187
-0.020048054418211135,21.308963298797607,13,245.0,88.0,431156811.0539632,0.020048054418211135,119765.7808483231
-0.005143079852821444,0.8546772003173828,14,841.0,84.0,6242190.2979404405,0.005143079852821444,1733.9417494279
-0.01287231972830507,2.7277238368988037,15,992.0,68.0,27245240.810525887,0.01287231972830507,7568.122447368301
-0.019893412203158004,13.040598154067993,16,356.0,98.0,120146999.4267879,0.019893412203158004,33374.166507441085
-0.013667126105275706,3.0843143463134766,17,171.0,18.0,31233785.343766604,0.013667126105275706,8676.051484379612
-0.01906630098701038,8.554168462753296,18,413.0,97.0,79568613.72229633,0.01906630098701038,22102.39270063787
-0.01982924443072874,16.56186842918396,19,512.0,10.0,419008594.24341226,0.01982924443072874,116391.27617872563
-0.01956407144465684,16.403932094573975,20,51.0,82.0,228616389.8268738,0.01956407144465684,63504.552729687166
-0.019999927112442185,23.434756755828857,21,601.0,83.0,620038346.7761145,0.019999927112442185,172232.87410447624
-0.019576382348675238,17.906338930130005,22,615.0,90.0,238268399.9401976,0.019576382348675238,66185.66665005489
-0.02003532409097597,23.061689615249634,23,590.0,70.0,625659504.0421487,0.02003532409097597,173794.30667837465
-0.019740559059387992,13.063602685928345,24,238.0,69.0,122847891.7477193,0.019740559059387992,34124.414374366475
-0.019524131394057388,19.3791401386261,25,241.0,73.0,310264267.23157537,0.019524131394057388,86184.5186754376
-0.019590053427529345,13.758607625961304,26,573.0,56.0,135414696.84877235,0.019590053427529345,37615.19356910343
-0.019088119033349036,8.544243335723877,27,102.0,63.0,81231470.83359177,0.019088119033349036,22564.297453775493
-0.002910492880971302,0.6331696510314941,28,673.0,75.0,2867965.897126327,0.002910492880971302,796.6571936462019
-0.020078815341014106,22.707523584365845,29,265.0,92.0,625125058.7741855,0.020078815341014106,173645.849659496
-0.019837369786204342,18.56966257095337,30,268.0,89.0,280108069.4035683,0.019837369786204342,77807.79705654675
-0.01914645866135809,15.344944953918457,31,189.0,90.0,174625764.4771879,0.01914645866135809,48507.156799218865
-0.01929632940802415,15.136047840118408,32,120.0,59.0,178280768.3092206,0.01929632940802415,49522.43564145017
-0.018635914229574106,6.9999120235443115,33,296.0,45.0,66717535.31276269,0.018635914229574106,18532.648697989636
-0.016764859810154867,4.591144323348999,34,55.0,46.0,46585893.587150335,0.016764859810154867,12940.525996430648
-0.019943440344318338,22.50484275817871,35,364.0,78.0,501657032.47579837,0.019943440344318338,139349.17568772176
-0.01990494609239222,20.043490648269653,36,219.0,99.0,345438250.7901836,0.01990494609239222,95955.0696639399
-0.006274395369052584,1.1862962245941162,37,410.0,93.0,11885984.552275099,0.006274395369052584,3301.662375631972
-0.00335309786022458,0.695688009262085,38,532.0,63.0,3358049.4613409224,0.00335309786022458,932.7915170391451
-0.019825245716365965,11.41690444946289,39,117.0,40.0,108497198.93763524,0.019825245716365965,30138.11081600979
-0.015132636414104958,3.839933156967163,40,395.0,86.0,38933411.65256006,0.015132636414104958,10814.836570155572
-0.019587995246249056,17.61997961997986,41,748.0,76.0,234301996.7923804,0.019587995246249056,65083.887997883445
-0.019990941948787342,21.647172212600708,42,310.0,100.0,426764747.6426705,0.019990941948787342,118545.76323407514
-0.019833434850169245,21.791961669921875,43,77.0,93.0,630653757.4021088,0.019833434850169245,175181.59927836354
-0.009094771090937351,1.6748731136322021,44,456.0,51.0,16769991.741648456,0.009094771090937351,4658.331039346794
-0.01900431085525179,14.654303312301636,45,192.0,62.0,161277066.60304514,0.01900431085525179,44799.185167512536
-0.019607157424091852,11.203927278518677,46,138.0,56.0,102810876.05023593,0.019607157424091852,28558.576680621092
-0.019911878612143084,20.699899435043335,47,338.0,33.0,519657728.41468227,0.019911878612143084,144349.3690040784
-0.00549831107052704,0.9744584560394287,48,273.0,86.0,8220852.436400768,0.00549831107052704,2283.570121222436
-0.01475375239823453,9.45645022392273,49,503.0,1.0,287196607.5470731,0.01475375239823453,79776.83542974254
-0.019863814148427732,21.382189750671387,50,424.0,95.0,375317075.3147681,0.019863814148427732,104254.74314299114
-0.004075797603352782,0.9404072761535645,51,851.0,80.0,4783715.980409877,0.004075797603352782,1328.8099945582992
-0.017267286181067282,13.301866292953491,52,162.0,72.0,57730179.8990357,0.017267286181067282,16036.161083065472
-0.019802654334876473,20.353468656539917,53,551.0,21.0,90832533.4604749,0.019802654334876473,25231.25929457636
-0.0190997594466641,29.53165078163147,54,476.0,67.0,210131148.07579994,0.0190997594466641,58369.76335438887
-0.012131671017979538,2.456437587738037,55,212.0,10.0,24800999.587411713,0.012131671017979538,6889.166552058809
-0.015133744884330369,4.199902296066284,56,87.0,66.0,41876269.22411493,0.015133744884330369,11632.297006698593
-0.009980820556727072,1.849283218383789,57,341.0,88.0,19020473.12974014,0.009980820556727072,5283.464758261151
-0.019171214174419565,14.475924491882324,58,733.0,81.0,142956250.59903625,0.019171214174419565,39710.0696108434
-0.020034469906708728,22.828728675842285,59,625.0,94.0,442654104.0968978,0.020034469906708728,122959.47336024938
-0.019186961315717805,16.103918075561523,60,257.0,46.0,206300950.96260753,0.019186961315717805,57305.81971183543
-0.018156611886861226,6.778196334838867,61,390.0,31.0,64586882.75035581,0.018156611886861226,17940.800763987725
-0.020173304970593893,23.417633533477783,62,300.0,100.0,576352292.3558189,0.020173304970593893,160097.85898772746
-0.020183665728393363,23.25836420059204,63,302.0,100.0,560867999.2062039,0.020183665728393363,155796.66644616777
-0.01389745408271096,3.127685546875,64,648.0,40.0,31184759.969902743,0.01389745408271096,8662.433324972984
-0.02029588666327736,22.899561405181885,65,287.0,97.0,524290865.1528637,0.02029588666327736,145636.351431351
-0.01965661106589426,18.608933448791504,66,302.0,100.0,270762891.3323737,0.01965661106589426,75211.91425899269
-0.019921932700713917,20.19655179977417,67,356.0,97.0,329083110.42770135,0.019921932700713917,91411.97511880593
-0.02024471291578506,23.303905248641968,68,436.0,96.0,523489414.47316384,0.02024471291578506,145413.72624254553
-0.02009328968550643,23.22226047515869,69,442.0,84.0,533025316.59341884,0.02009328968550643,148062.58794261634
