loss,run_time,iteration,size_conv_horizontal,size_conv_vertical,L,T,U,num_components,l2,delta,ndcg,window_hours
-0.006627768226228109,1693.2933511734009,0,3.0,21.0,8.0,3.0,7.0,70.0,0.09601579669103641,26229.832798482195,0.006627768226228109,7.286064666245054
-0.004734735608577466,2212.190346956253,1,4.0,6.0,3.0,2.0,20.0,25.0,0.09356414300992867,3532197.178506355,0.004734735608577466,981.1658829184319
-0.005725664342947514,5793.588371038437,2,5.0,2.0,8.0,2.0,8.0,90.0,0.0012232721418520397,2529766.2097324464,0.005725664342947514,702.7128360367907
-0.002282588514964758,2510.9872653484344,3,3.0,12.0,9.0,2.0,7.0,33.0,0.012535039474818776,1504534.099382217,0.002282588514964758,417.9261387172825
-7.790075559513405e-05,1625.3613986968994,4,8.0,29.0,7.0,1.0,9.0,45.0,0.09077602189078808,2271.4799450160053,7.790075559513405e-05,0.6309666513933349
-0.00015418682648339488,1654.497584104538,5,1.0,18.0,5.0,2.0,15.0,46.0,0.035139404456407466,1928.1959237481065,0.00015418682648339488,0.5356099788189185
-0.005192822349014458,2165.17782831192,6,7.0,7.0,8.0,2.0,12.0,93.0,0.048927495075731964,214366.23464284497,0.005192822349014458,59.54617628967916
-0.004297842503307271,1932.60329580307,7,2.0,5.0,10.0,3.0,11.0,70.0,0.018306165630290607,171029.44822734012,0.004297842503307271,47.508180063150036
-0.0003954708900793649,1680.6889369487762,8,5.0,18.0,9.0,3.0,17.0,30.0,0.09189837462737233,9969.299097017252,0.0003954708900793649,2.769249749171459
-0.0039027731268669883,10861.402700185776,9,9.0,20.0,6.0,2.0,14.0,96.0,0.05848298043605145,10409046.15954464,0.0039027731268669883,2891.4017109846222
-0.00030662315047099554,1678.0336833000183,10,2.0,12.0,9.0,2.0,9.0,40.0,0.08212962534451938,11719.87543399481,0.00030662315047099554,3.2555209538874474
-0.004778353307077004,2511.486965894699,11,3.0,24.0,8.0,1.0,6.0,67.0,0.04016406482644506,414550.9537080205,0.004778353307077004,115.15304269667236
-0.0001568951592502842,1748.3660793304443,12,3.0,25.0,3.0,1.0,7.0,94.0,0.020485569397223076,1994.6132696391978,0.0001568951592502842,0.5540592415664438
-0.005058833850917929,1976.067444562912,13,4.0,27.0,6.0,2.0,12.0,87.0,0.0737564229500905,162084.4443159535,0.005058833850917929,45.02345675443153
-0.0018202272274914543,1706.0020604133606,14,3.0,11.0,9.0,1.0,14.0,62.0,0.0858461432513955,2955.532356226222,0.0018202272274914543,0.8209812100628394
-0.0077184296183664515,1756.1793961524963,15,5.0,28.0,6.0,3.0,20.0,46.0,0.02791877413290463,111057.93208182459,0.0077184296183664515,30.84942557828461
