loss,run_time,iteration,bptt,hidden_size,embedding_size,delta,ndcg,window_hours
-0.00016479171510506586,612.5544300079346,0,6.0,61.0,202.0,2309.670867980103,0.00016479171510506586,0.6415752411055842
-0.0005658206720676181,635.8732378482819,1,5.0,113.0,258.0,8246.265957929192,0.0005658206720676181,2.290629432758109
-0.0003483828169266137,639.501261472702,2,9.0,197.0,167.0,7439.811494236925,0.0003483828169266137,2.0666143039547014
-0.027124338636314752,2537.546512365341,3,5.0,175.0,204.0,3581058.5980359404,0.027124338636314752,994.7384994544279
-0.029270609920185583,3553.7559401988983,4,4.0,100.0,230.0,5269790.110402377,0.029270609920185583,1463.8305862228826
-0.030991068420851288,3824.450835466385,5,3.0,90.0,80.0,5621641.124520478,0.030991068420851288,1561.5669790334662
-0.006836758538993877,729.4771945476532,6,7.0,177.0,122.0,132490.51620560326,0.006836758538993877,36.80292116822313
-0.006497940383022581,714.6593804359436,7,6.0,71.0,97.0,181675.55395636935,0.006497940383022581,50.46543165454704
-0.018461119062210884,2333.2402935028076,8,2.0,240.0,239.0,1347023.4522120226,0.018461119062210884,374.1731811700063
-0.0007411947070855135,602.3073308467865,9,3.0,131.0,276.0,6099.817585423065,0.0007411947070855135,1.6943937737286292
-0.0032184679034594705,703.8285961151123,10,4.0,207.0,203.0,54720.77892667788,0.0032184679034594705,15.200216368521632
-0.013316758028031183,916.4141874313354,11,6.0,148.0,168.0,409952.7753335578,0.013316758028031183,113.87577092598828
-0.002571261476670113,664.14892411232,12,7.0,102.0,215.0,40041.80780726548,0.002571261476670113,11.122724390907079
-0.014773038306309256,909.9906604290009,13,9.0,185.0,134.0,435942.182174942,0.014773038306309256,121.09505060415056
-0.017378231429886943,1853.4763193130493,14,4.0,181.0,291.0,1567254.4355471577,0.017378231429886943,435.3484543186549
-0.029530371884763935,5649.290303230286,15,2.0,162.0,215.0,5232253.743793654,0.029530371884763935,1453.4038177204595
