loss,run_time,iteration,K,normalize_X,similarity,delta,ndcg,window_hours
-0.008279291880593984,4.270029783248901,0,182.0,0,1,9163.142435628506,0.008279291880593984,2.5453173432301406
-0.042493111885827946,44.21240854263306,1,584.0,0,1,536902.5857352661,0.042493111885827946,149.13960714868503
-0.04545176522591889,71.39958357810974,2,638.0,1,1,13020486.85081831,0.04545176522591889,3616.801903005086
-0.0037636994310748084,3.5452001094818115,3,590.0,0,0,3424.194789134232,0.0037636994310748084,0.9511652192039534
-0.002091297727991866,3.4186134338378906,4,501.0,1,1,2737.7363167434282,0.002091297727991866,0.7604823102065078
-0.051478208292059215,30.459245681762695,5,149.0,0,1,7479776.1259316495,0.051478208292059215,2077.7155905365694
-0.036303934701369445,82.27869963645935,6,760.0,0,0,2095554.2276309282,0.036303934701369445,582.0983965641467
-0.050842481919552346,18.43172597885132,7,70.0,0,1,4828662.681214391,0.050842481919552346,1341.2951892262197
-0.007103052432802099,3.98166561126709,8,691.0,0,1,6750.312597463815,0.007103052432802099,1.8750868326288375
-0.05137935418481082,105.52043557167053,9,928.0,0,1,5947457.652241628,0.05137935418481082,1652.0715700671187
-0.011316991565342703,9.937587022781372,10,376.0,0,0,41404.73717443832,0.011316991565342703,11.501315881788422
-0.03237349710246609,39.095566749572754,11,440.0,1,0,476636.8245837645,0.03237349710246609,132.39911793993457
-0.014117458254143156,6.19230842590332,12,967.0,1,1,17418.359503746105,0.014117458254143156,4.838433195485029
-0.006471245013995247,3.9504213333129883,13,383.0,1,1,6180.950779439567,0.006471245013995247,1.7169307720665463
-0.0258365547591114,29.14680576324463,14,996.0,1,0,219581.97947224567,0.0258365547591114,60.99499429784602
-0.051485496958808066,88.52799224853516,15,674.0,1,0,7276902.560824514,0.051485496958808066,2021.361822451254
-0.017600679969872492,7.177343130111694,16,881.0,0,1,22479.381850198246,0.017600679969872492,6.244272736166179
-0.045378280030157724,63.777480363845825,17,728.0,1,1,1428194.181002333,0.045378280030157724,396.7206058339814
-0.04591978255921869,45.07487726211548,18,367.0,1,1,7524547.975585386,0.04591978255921869,2090.152215440385
-0.017742719153477058,7.712026119232178,19,796.0,1,1,26741.47758289605,0.017742719153477058,7.428188217471124
-0.04630011268590815,30.816110849380493,20,186.0,1,0,1847396.6342553508,0.04630011268590815,513.1657317375974
-0.04590125297584256,52.26876974105835,21,278.0,0,0,12514452.253663141,0.04590125297584256,3476.2367371286505
-0.013021714097862768,13.905672311782837,22,837.0,0,0,72298.81693441373,0.013021714097862768,20.083004704003812
-0.04947416249082187,15.382281303405762,23,61.0,1,0,3472075.8474962977,0.04947416249082187,964.465513193416
-0.03664695983496038,33.71511650085449,24,257.0,1,0,784161.9534839742,0.03664695983496038,217.8227648566595
-0.01906675826646539,22.159353971481323,25,510.0,0,0,185403.28291389937,0.01906675826646539,51.5009119205276
-0.039642393481702516,59.29737615585327,26,623.0,1,0,970932.6172713618,0.039642393481702516,269.7035047976005
-0.04440356145908002,32.15984559059143,27,137.0,0,0,8181498.136026763,0.04440356145908002,2272.6383711185454
-0.04998383710474332,38.716440200805664,28,282.0,0,1,3044467.6363149085,0.04998383710474332,845.685454531919
-0.027187816473171467,28.320817470550537,29,449.0,1,0,275626.2788556212,0.027187816473171467,76.56285523767255
-0.05150368277578949,83.99690794944763,30,664.0,0,1,9540506.278081533,0.05150368277578949,2650.140632800426
-0.026774472382035,14.285932779312134,31,661.0,0,1,94161.82092242195,0.026774472382035,26.15606136733943
-0.04982835855894262,81.92510080337524,32,595.0,1,0,12790218.889029026,0.04982835855894262,3552.8385802858406
-0.0442757479033181,44.58703947067261,33,560.0,0,1,611241.6649728896,0.0442757479033181,169.78935138135822
-0.04020720588231569,42.20270657539368,34,719.0,1,1,430944.58296186384,0.04020720588231569,119.70682860051774
-0.03152604727413112,73.56931495666504,35,810.0,0,0,1247885.2252729142,0.03152604727413112,346.6347847980317
-0.046926252566446204,85.65449452400208,36,878.0,1,1,3927710.072563327,0.046926252566446204,1091.0305757120352
-0.03676151365793821,75.4603066444397,37,652.0,0,0,2204551.9931888557,0.03676151365793821,612.375553663571
-0.05129381049456447,74.38175964355469,38,553.0,0,1,12108623.863699147,0.05129381049456447,3363.5066288053185
-0.05111240987806755,89.3490731716156,39,776.0,0,1,5278988.847836578,0.05111240987806755,1466.3857910657161
-0.0013077338796103665,3.257228136062622,40,472.0,1,0,1907.625280371452,0.0013077338796103665,0.5298959112142922
-0.03219298089599254,16.239275693893433,41,920.0,0,1,107927.38277473075,0.03219298089599254,29.979828548536318
-0.029168173565386986,37.47442936897278,42,707.0,1,0,320079.59138882987,0.029168173565386986,88.9109976080083
-0.051463831850326734,92.13754606246948,43,747.0,0,1,9143811.8735966,0.051463831850326734,2539.947742665722
-0.04843570048910484,74.42757821083069,44,613.0,1,0,2563995.4392333403,0.04843570048910484,712.2209553425945
-0.00855707169621521,4.333223581314087,45,679.0,0,1,9560.92225185362,0.00855707169621521,2.655811736626006
-0.04685739002421876,48.01157474517822,46,416.0,1,1,4951389.7838981915,0.04685739002421876,1375.386051082831
-0.03349250904147269,80.62903070449829,47,840.0,0,0,1563700.5299537969,0.03349250904147269,434.36125832049913
-0.02102167239470419,9.538895845413208,48,332.0,1,1,41135.72339935141,0.02102167239470419,11.42658983315317
-0.037148979306012075,51.90294623374939,49,550.0,1,0,793193.3251288054,0.037148979306012075,220.33147920244593
-0.05146842996756519,63.87927961349487,50,488.0,0,1,6912985.804871669,0.05146842996756519,1920.2738346865747
