loss,run_time,iteration,bptt,hidden_size,embedding_size,delta,ndcg,window_hours
-0.08847405776715618,3643.9929280281067,0,3.0,146.0,298.0,4402469.125111738,0.08847405776715618,1222.908090308816
-0.0985071110157986,5655.070861816406,1,8.0,165.0,157.0,9554553.051960314,0.0985071110157986,2654.0425144334204
-0.08657796451405722,7738.7628474235535,2,1.0,50.0,201.0,8781853.90239997,0.08657796451405722,2439.4038617777696
-0.09621805683620935,4780.819683551788,3,8.0,205.0,182.0,7828882.254776317,0.09621805683620935,2174.6895152156435
-0.09584887761410198,7672.794479370117,4,5.0,117.0,171.0,13840181.454574667,0.09584887761410198,3844.4948484929632
-0.0906135778081548,2556.889774799347,5,6.0,236.0,69.0,2813547.910328185,0.0906135778081548,781.5410862022736
-0.09874685299429839,7171.536469697952,6,2.0,250.0,254.0,8815333.071526226,0.09874685299429839,2448.703630979507
-0.08919376290402863,8048.077934265137,7,3.0,114.0,79.0,13103453.199237008,0.08919376290402863,3639.8481108991687
-0.09467149986880787,5828.830482721329,8,3.0,80.0,220.0,9173345.326629318,0.09467149986880787,2548.151479619255
-0.09156969966241123,8524.414199829102,9,4.0,210.0,285.0,14335303.261864811,0.09156969966241123,3982.0286838513366
-0.09999631283664483,6996.495223760605,10,7.0,217.0,68.0,11998794.806769682,0.09999631283664483,3332.998557436023
-0.09517167376798404,4053.936336994171,11,8.0,235.0,189.0,6491289.280266684,0.09517167376798404,1803.1359111851898
-0.09622232842190631,2613.8463113307953,12,10.0,132.0,213.0,3083315.7734347023,0.09622232842190631,856.4766037318617
-0.09609060371033377,10484.351453065872,13,1.0,86.0,118.0,12396463.815830266,0.09609060371033377,3443.4621710639626
-0.09179334768591983,7170.759286880493,14,3.0,77.0,234.0,11473380.721025674,0.09179334768591983,3187.0502002849094
