loss,run_time,iteration,bptt,hidden_size,embedding_size,delta,ndcg,window_hours
-0.07352228869338177,198.51827907562256,0,3.0,124.0,105.0,24628.830941177363,0.07352228869338177,6.841341928104823
-0.06647014232880723,195.6204378604889,1,4.0,57.0,100.0,38294.662423656344,0.06647014232880723,10.637406228793429
-0.07086803306767221,396.2768397331238,2,3.0,180.0,53.0,99746.79928698999,0.07086803306767221,27.707444246386107
-0.06576734048334319,101.52323317527771,3,2.0,58.0,251.0,3976.8303713006235,0.06576734048334319,1.104675103139062
-0.06437332049652215,808.8137791156769,4,3.0,203.0,220.0,348014.09802483686,0.06437332049652215,96.67058278467691
-0.06297317023468646,369.9901239871979,5,8.0,193.0,82.0,102023.84127697833,0.06297317023468646,28.339955910271758
-0.06847054911165193,755.7504987716675,6,9.0,247.0,266.0,541192.427233442,0.06847054911165193,150.3312297870672
-0.05836933715996738,95.88113451004028,7,10.0,149.0,71.0,2277.7108325224367,0.05836933715996738,0.6326974534784546
-0.06469420721935544,94.25335717201233,8,5.0,56.0,244.0,2618.255970286455,0.06469420721935544,0.7272933250795709
-0.07473009434908423,722.6670196056366,9,9.0,110.0,131.0,603073.6037197035,0.07473009434908423,167.5204454776954
-0.07220294869384643,745.1620800495148,10,4.0,124.0,223.0,358033.4894470764,0.07220294869384643,99.45374706863234
-0.05525186566962922,208.57179284095764,11,2.0,204.0,124.0,30056.06978531741,0.05525186566962922,8.34890827369928
-0.07374759902576546,178.47681331634521,12,4.0,65.0,125.0,21315.89149552329,0.07374759902576546,5.921080970978692
-0.07546497771844664,785.678893327713,13,5.0,142.0,77.0,564907.6220984561,0.07546497771844664,156.91878391623783
-0.0785510075264537,699.2068891525269,14,9.0,85.0,295.0,436388.8158295473,0.0785510075264537,121.21911550820758
-0.07765417474908023,723.8058519363403,15,9.0,138.0,207.0,450777.74641310854,0.07765417474908023,125.21604067030793
-0.07557154132948228,217.318998336792,16,8.0,51.0,71.0,50898.42498196746,0.07557154132948228,14.13845138387985
