loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.007243130997329814,3.4923019409179688,0,97.0,58.0,3543866.292849285,0.007243130997329814,984.4073035692459
-0.01755573949434524,12.989510774612427,1,881.0,22.0,20842648.2790081,0.01755573949434524,5789.624521946695
-0.028581106664064285,75.30597805976868,2,187.0,35.0,144565399.35937196,0.028581106664064285,40157.05537760332
-0.021875709657912717,24.210655212402344,3,745.0,8.0,31631239.66031589,0.021875709657912717,8786.455461198859
-0.02870135108776648,73.64690256118774,4,128.0,15.0,354694572.1262207,0.02870135108776648,98526.2700350613
-0.0286563304456774,70.33286118507385,5,344.0,12.0,157299103.431366,0.0286563304456774,43694.19539760167
-0.028176457669820926,63.005638122558594,6,628.0,25.0,91817698.55345379,0.028176457669820926,25504.916264848274
-0.027360129845318007,56.14453649520874,7,762.0,59.0,77289724.30649972,0.027360129845318007,21469.367862916588
-0.028644298126801138,81.16022157669067,8,504.0,91.0,139957753.71002245,0.028644298126801138,38877.15380833957
-0.007440299703387546,3.687595844268799,9,619.0,47.0,3837199.826189187,0.007440299703387546,1065.8888406081076
-0.028688269074233656,79.49831748008728,10,880.0,30.0,151302234.43971127,0.028688269074233656,42028.398455475355
-0.027733800703924893,109.91611862182617,11,437.0,67.0,86278293.42478907,0.027733800703924893,23966.192617996963
-0.028568400846680077,70.53402137756348,12,170.0,52.0,114932395.81544246,0.028568400846680077,31925.665504289573
-0.020847760048389553,20.21228575706482,13,371.0,51.0,27355782.486329,0.020847760048389553,7598.828468424722
-0.007850708125379776,3.89711594581604,14,860.0,78.0,4309712.390403889,0.007850708125379776,1197.142330667747
-0.01745686680301503,12.762586832046509,15,442.0,32.0,20595289.797133673,0.01745686680301503,5720.913832537131
-0.013788066506644252,7.827507734298706,16,297.0,92.0,12088967.000228567,0.013788066506644252,3358.04638895238
-0.015142525267924513,9.285823345184326,17,805.0,58.0,15058219.750503225,0.015142525267924513,4182.838819584229
-0.016461773778712753,10.730724811553955,18,209.0,17.0,17585721.956461523,0.016461773778712753,4884.922765683757
-0.013329258093090924,7.1379029750823975,19,544.0,25.0,11051441.21464251,0.013329258093090924,3069.844781845142
-0.027809630604569806,55.69648289680481,20,999.0,3.0,568646072.8042641,0.027809630604569806,157957.24244562892
-0.028709844629901348,87.0548448562622,21,989.0,40.0,438054031.827975,0.028709844629901348,121681.67550777082
-0.028654550517186888,80.00219702720642,22,63.0,43.0,597180053.3108964,0.028654550517186888,165883.34814191566
-0.028657396634975178,86.42179989814758,23,994.0,39.0,330385382.5567798,0.028657396634975178,91773.71737688327
-0.028050727592370272,58.8234703540802,24,662.0,4.0,306883341.9811991,0.028050727592370272,85245.3727725553
-0.028664502688338356,75.47041010856628,25,275.0,17.0,301201123.8428274,0.028664502688338356,83666.97884522982
-0.02584985526484377,39.10213780403137,26,63.0,75.0,55785552.313491546,0.02584985526484377,15495.986753747651
-0.028710325148096603,80.43544864654541,27,122.0,39.0,502836926.65283114,0.028710325148096603,139676.92407023086
-0.028739642872240068,86.45848727226257,28,558.0,69.0,228845538.05991662,0.028739642872240068,63568.20501664351
-0.028766990560263567,87.47027778625488,29,558.0,84.0,234384161.56553188,0.028766990560263567,65106.71154598108
-0.028750429229874946,87.71939897537231,30,570.0,83.0,247857050.02290088,0.028750429229874946,68849.18056191692
